ID,review,Sentiment
1,"Stunning graphics, immersive gameplay.",2
2,"Compelling story, highly recommended.",2
3,"Intuitive controls, enjoyable experience.",2
4,"Virtually bug-free, incredibly polished.",2
5,Engaging from start to finish.,2
6,"Excellent optimization, smooth performance.",2
7,Fresh and innovative gameplay.,2
8,"Well-balanced, highly satisfying.",2
9,Exciting from the get-go.,2
10,"Exceeded expectations, unforgettable.",2
11,"Polished mechanics, masterfully crafted.",2
12,"Engaging dialogue, emotionally resonant.",2
13,"Gorgeous graphics, visually stunning.",2
14,"Compelling narrative, rich storytelling.",2
15,"Immersive world-building, captivating.",2
16,"Supportive community, positive atmosphere.",2
17,"Intelligent AI, challenging opponents.",2
18,"Well-developed characters, memorable.",2
19,Innovative gameplay mechanics.,2
20,"Enchanting soundtrack, atmospheric.",2
21,"Ingenious level design, cleverly crafted.",2
22,Clear and informative tutorial.,2
23,"Satisfying conclusion, rewarding.",2
24,"Diverse and varied, never dull.",2
25,"Flawless performance, seamless.",2
26,Perfect balance of challenge and fun.,2
27,"Gripping plot, unpredictable twists.",2
28,"Dynamic combat, satisfying.",2
29,"User-friendly interface, intuitive.",2
30,Memorable and impactful.,2
31,Smooth progression system.,2
32,"Abundant content, hours of fun.",2
33,"Well-written dialogue, engaging.",2
34,"Expansive exploration, freedom.",2
35,"Thought-provoking puzzles, satisfying.",2
36,"High replay value, addictive.",2
37,"Charismatic personality, unforgettable.",2
38,Powerful emotional resonance.,2
39,"Immersive atmosphere, immersive.",2
40,"Stunning visuals, breathtaking.",2
41,"Seamless integration, cohesive.",2
42,"Flawless performance, no issues.",2
43,"Responsive controls, precise.",2
44,"Epic length, worth every minute.",2
45,"Constant updates, ongoing support.",2
46,Brilliant execution of the concept.,2
47,"Perfectly balanced, finely tuned.",2
48,Attention to detail is exceptional.,2
49,"Captivating gameplay, hard to put down.",2
50,"Deep and meaningful story, emotionally gripping.",2
51,"Intuitive controls, easy to learn.",2
52,"Beautifully crafted world, immersive experience.",2
53,Optimized for smooth performance.,2
54,Unique and innovative mechanics.,2
55,Rich and immersive narrative.,2
56,Welcoming and supportive community.,2
57,"Challenging AI, keeps you on your toes.",2
58,Memorable and well-developed characters.,2
59,Engaging gameplay mechanics.,2
60,"Enthralling soundtrack, sets the mood.",2
61,"Cleverly designed levels, rewarding exploration.",2
62,"Informative tutorial, easy to follow.",2
63,"Satisfying ending, leaves you wanting more.",2
64,Varied and diverse gameplay experiences.,2
65,"Seamless performance, no lag.",2
66,"Balanced difficulty curve, challenging but fair.",2
67,Twists and turns keep you guessing.,2
68,"Exciting combat encounters, adrenaline-pumping.",2
69,"Intuitive interface, easy to navigate.",2
70,"Emotional journey, resonates deeply.",2
71,"Immersive environments, feels alive.",2
72,Visually stunning art direction.,2
73,Smooth and polished gameplay.,2
74,"Responsive controls, precise movements.",2
75,"Extensive content, endless replayability.",2
76,Deep and meaningful dialogue.,2
77,"Expansive world to explore, full of secrets.",2
78,"Challenging puzzles, satisfying to solve.",2
79,"Addictive gameplay loop, hard to resist.",2
80,"Memorable characters, each with their own story.",2
81,"Atmospheric soundtrack, sets the tone perfectly.",2
82,"Clever level design, keeps you engaged.",2
83,"Comprehensive tutorial, covers all the basics.",2
84,"Satisfying conclusion, ties up loose ends.",2
85,"Vast open world, ripe for exploration.",2
86,"Immersive storytelling, draws you in.",2
87,"Stunning visuals, breathtaking landscapes.",2
